match_id,ally_champs,enemy_champs,win
NA1_5233461141,"['Caitlyn', 'Vayne', 'Bard', 'Kaisa', 'MissFortune']","['Smolder', 'TwistedFate', 'Chogath', 'Sona', 'Volibear']",1.0
NA1_5232929068,"['Darius', 'Smolder', 'MissFortune', 'Aatrox', 'Kaisa']","['Kaisa', 'Smolder', 'Mordekaiser', 'Veigar', 'MasterYi']",1.0
NA1_5232865088,"['Kaisa', 'Elise', 'MissFortune', 'Smolder', 'Graves']","['Sivir', 'Chogath', 'Kennen', 'Ziggs', 'Volibear']",0.0
NA1_5232287807,"['Mel', 'Smolder', 'MissFortune', 'Lillia', 'Kaisa']","['Varus', 'Ekko', 'Warwick', 'Leona', 'Vi']",1.0
NA1_5231565395,"['Smolder', 'MissFortune', 'Vayne', 'Mordekaiser', 'Kaisa']","['Kaisa', 'Annie', 'Nasus', 'Taric', 'Ekko']",0.0
NA1_5230742190,"['Neeko', 'Akshan', 'MissFortune', 'Aphelios', 'Heimerdinger']","['Veigar', 'Annie', 'Yorick', 'Ziggs', 'Nocturne']",0.0
NA1_5229994602,"['Jinx', 'MissFortune', 'Ashe', 'Akshan', 'Caitlyn']","['Ashe', 'Ziggs', 'Kennen', 'Renata', 'Sejuani']",1.0
NA1_5229969289,"['MissFortune', 'Neeko', 'Aphelios', 'Karma', 'Akshan']","['Ezreal', 'Veigar', 'Cassiopeia', 'Ziggs', 'Poppy']",0.0
NA1_5229326709,"['Karma', 'Aurora', 'Garen', 'MissFortune', 'Aphelios']","['Ashe', 'Ekko', 'Cassiopeia', 'Seraphine', 'Nocturne']",1.0
NA1_5229298985,"['MissFortune', 'Akshan', 'Khazix', 'Aphelios', 'Garen']","['Kaisa', 'Rumble', 'Mordekaiser', 'Zyra', 'Lillia']",1.0
NA1_5228298852,"['Akshan', 'Bard', 'Rell', 'Aphelios', 'MissFortune']","['Varus', 'Galio', 'Volibear', 'Malphite', 'Hecarim']",0.0
