match_id,ally_champs,enemy_champs,win
NA1_5188234272,"['Akali', 'Graves', 'Ryze', 'Draven', 'Rakan']","['Zac', 'Rengar', 'Aurora', 'Twitch', 'Neeko']",1.0
NA1_5188205304,"['Skarner', 'Graves', 'Yasuo', 'Syndra', 'Janna']","['Kled', 'JarvanIV', 'Aurora', 'Jinx', 'Rell']",1.0
NA1_5188164712,"['MonkeyKing', 'JarvanIV', 'Syndra', 'Jinx', 'Nautilus']","['Kled', 'Darius', 'Aurora', 'Varus', 'TahmKench']",0.0
NA1_5188141494,"['Gragas', 'Graves', 'Syndra', 'MissFortune', 'Alistar']","['Naafiri', 'Udyr', 'Ahri', 'Jinx', 'Nautilus']",0.0
NA1_5188107363,"['Camille', 'Viego', 'Orianna', 'Ezreal', 'Seraphine']","['Irelia', 'Ahri', 'Qiyana', 'Tristana', 'Alistar']",0.0
NA1_5188079063,"['Akali', 'Graves', 'Yone', 'MissFortune', 'Milio']","['Poppy', 'LeeSin', 'Sylas', 'Ashe', 'Braum']",1.0
NA1_5187578448,"['Jax', 'Sylas', 'Briar', 'Viktor', 'Rakan']","['KSante', 'Shyvana', 'Ekko', 'Lucian', 'Pyke']",1.0
NA1_5187542627,"['Sion', 'Nidalee', 'Akshan', 'Viktor', 'TahmKench']","['Warwick', 'Viego', 'Lissandra', 'Zyra', 'Pyke']",1.0
NA1_5187503964,"['Malphite', 'Viego', 'Aurora', 'Varus', 'Renata']","['Gnar', 'LeeSin', 'Syndra', 'Ezreal', 'Bard']",0.0
NA1_5187448449,"['Fiora', 'Viego', 'Ryze', 'Tristana', 'Thresh']","['Viktor', 'JarvanIV', 'Talon', 'Jinx', 'TahmKench']",0.0
NA1_5187403628,"['Ambessa', 'Viego', 'Quinn', 'Syndra', 'Blitzcrank']","['Irelia', 'JarvanIV', 'Viktor', 'Zyra', 'Nautilus']",0.0
NA1_5187366327,"['Garen', 'LeeSin', 'Yone', 'Lux', 'Taric']","['Renekton', 'Khazix', 'Ryze', 'Urgot', 'Zyra']",1.0
